[Thursday/August 14/08/2025 22:20:02] /home/mb/Videos/Berserk_1997_multi/Berserk_S01E001.mkv | length=1416.958 | time=149.441
[Thursday/August 14/08/2025 22:21:09] /home/mb/Videos/Berserk_1997_multi/Berserk_S01E001.mkv | length=1416.958 | time=150.108
[Thursday/August 14/08/2025 22:22:15] /home/mb/Videos/Berserk_1997_multi/Berserk_S01E001.mkv | length=1416.958 | time=151.943
[Saturday/September 27/09/2025 17:32:47] /home/mb/Videos/TODO/[YakuboEncodes] Cowboy Bebop - 01 ~ 26 + Movie [BD 1080p 10bit][x265 HEVC][Dual Audio 5.1]/CowboyBebop_S01E001.mkv | length=1483.164 | time=5.721
[Saturday/September 27/09/2025 17:33:13] /home/mb/Videos/TODO/[YakuboEncodes] Cowboy Bebop - 01 ~ 26 + Movie [BD 1080p 10bit][x265 HEVC][Dual Audio 5.1]/CowboyBebop_S01E001.mkv | length=1483.164 | time=8.14
[Monday/September 29/09/2025 14:17:01] /home/mb/Videos/TODO/cowboy/CowboyBebop_S01E007.mp4 | length=1481.3131555556 | time=178.05245555556
[Tuesday/September 30/09/2025 14:41:04] /home/mb/Videos/TODO/cowboy/CowboyBebop_S01E011.mp4 | length=1481.1463222222 | time=641.93253333333
[Friday/October 03/10/2025 14:50:36] /home/mb/Videos/TODO/[YakuboEncodes] Cowboy Bebop - 01 ~ 26 + Movie [BD 1080p 10bit][x265 HEVC][Dual Audio 5.1]/CowboyBebop_S01E009.mkv | length=1473.721 | time=101.734
[Friday/October 03/10/2025 14:51:44] /home/mb/Videos/TODO/cowboy/CowboyBebop_S01E009.mp4 | length=1473.6805333333 | time=124.7075
[Friday/October 03/10/2025 14:53:40] /home/mb/Videos/TODO/[YakuboEncodes] Cowboy Bebop - 01 ~ 26 + Movie [BD 1080p 10bit][x265 HEVC][Dual Audio 5.1]/CowboyBebop_S01E012.mkv | length=1480.997 | time=92.391
[Friday/October 03/10/2025 14:54:41] /home/mb/Videos/TODO/[YakuboEncodes] Cowboy Bebop - 01 ~ 26 + Movie [BD 1080p 10bit][x265 HEVC][Dual Audio 5.1]/CowboyBebop_S01E011.mkv | length=1482.547 | time=119.084
[Friday/October 03/10/2025 15:29:31] /home/mb/Videos/TODO/cowboy/CowboyBebop_S01E012.mp4 | length=1480.1870333333 | time=534.1165
[Sunday/October 05/10/2025 15:50:11] /home/mb/Videos/TODO/cowboy/CowboyBebop_S01E011.mp4 | length=1481.1463222222 | time=0
[Sunday/October 05/10/2025 15:50:17] /home/mb/Videos/TODO/cowboy/CowboyBebop_S01E011.mp4 | length=1481.1463222222 | time=646.93753333333
[Sunday/October 05/10/2025 16:27:43] /home/mb/Videos/TODO/cowboy/CowboyBebop_S01E012.mp4 | length=1480.1870333333 | time=742.3662
[Sunday/October 05/10/2025 13:56:15] /home/mb/Videos/TODO/cowboy/CowboyBebop_S01E012.mp4 | length=1480.1870333333 | time=1439.9797888889
